gn:id,gp:id_factual,gp:id_blackmad,reason
3651949,374671,28358253,mismatch
2805861,708159,12625786,mismatch
2922271,651699,12635484,mismatch
4163668,55840881,23506992,mismatch
3167223,723163,723162,mismatch
3455580,457714,424137,mismatch
3005812,600277,29332288,mismatch
617298,481390,481391,mismatch
621912,831474,834561,mismatch
4899906,55830532,55830404,mismatch
2657427,10696,10694,mismatch
5909687,12506515,12506516,mismatch
4923362,23498212,55832289,mismatch
137271,2222795,2254509,mismatch
669064,15001935,22661815,mismatch
5388703,55814334,55812971,mismatch
5406122,55814333,55814643,mismatch
2961056,562451,20073516,mismatch
685858,866602,866605,mismatch
3121442,761553,761549,mismatch
5005895,55828822,55829078,mismatch
2423736,56060993,1486121,mismatch
3314724,20072785,561264,mismatch
3397327,459812,437303,mismatch
4208900,55842741,55842294,mismatch
1653894,1140043,1140547,mismatch
2926586,12635184,649799,mismatch
2895636,12624036,663762,mismatch
2890984,12624037,665729,mismatch
2453348,1374216,56014785,mismatch
6361068,12692727,20220473,mismatch
2268615,23412901,740480,mismatch
2853107,685399,12624110,mismatch
3167872,722986,722317,mismatch
141679,2242500,2242497,mismatch
1161204,2227829,2254625,mismatch
1161204,2227828,2254625,mismatch
2904741,659920,12635081,mismatch
2913657,12634833,655843,mismatch
136395,2222959,2254543,mismatch
2736652,29387126,29387101,mismatch
2733690,29387122,749198,mismatch
3070122,12608899,794434,mismatch
2823049,12636558,699078,mismatch
1701053,1182406,1199490,mismatch
1220253,2213175,56122408,mismatch
3823945,55912362,55912359,mismatch
5323963,55813417,55815417,mismatch
2063722,1104941,1104940,mismatch
5350782,23506132,55813268,mismatch
3079632,785966,12604390,mismatch
8096650,55828906,55828944,mismatch
3518950,55911908,55886890,mismatch
6347091,55816304,23508323,mismatch
2964025,560972,20071392,mismatch
8096685,55828886,55828617,mismatch
3514868,55892860,150512,mismatch
2984070,23388124,619103,mismatch
119010,2245348,2245400,mismatch
1680125,1199967,1198196,mismatch
3514783,150695,55895608,mismatch
5847689,23496185,23496186,mismatch
2862733,679984,12635425,mismatch
3193171,848272,849647,mismatch
6362257,12693031,771614,mismatch
2963079,561465,20072894,mismatch
3389241,449017,449018,mismatch
128653,2234247,2254783,mismatch
